LIBID	MICROBE_COUNT_UNPAIRED_ANNOTATED	MICROBE_COUNT_UNPAIRED	MICROBE_COUNT_PROPORTION_ANNOTATED	subject	region	subj_region	K2_UNCLASSIFIED	K2_CLASSIFIED	mol_type
MHS328	3275298	4044692	0.8097768631084888	SMT021	Ch	SMT021_Ch	203745	2051275	RNA
MHS329	4578187	5648216	0.8105545184532603	SMT021	Ac	SMT021_Ac	828344	2842046	RNA
MHS330	1490295	2217754	0.6719839080439038	SMT021	Vf	SMT021_Vf	808603	1123377	RNA
MHS331	9025930	10166972	0.8877697312434814	SMT017	Ch	SMT017_Ch	90708	5087397	RNA
MHS332	7935180	9358008	0.8479561034784326	SMT017	Tw	SMT017_Tw	291385	4683152	RNA
MHS333	6166019	7099956	0.8684587622796536	SMT013	Sc	SMT013_Sc	288290	3602421	RNA
MHS334	1575636	2407928	0.6543534524288102	SMT013	Ac	SMT013_Ac	3762624	1255711	RNA
MHS335	3809428	5359498	0.7107807484954748	SMT013	Vf	SMT013_Vf	1560072	2707961	RNA
MHS336	8290396	9668726	0.8574445071667146	SMT008	Ac	SMT008_Ac	537837	4838026	RNA
MHS337	3079229	4114398	0.748403290104652	SMT008	Vf	SMT008_Vf	1480595	2081392	RNA
MHS338	1623412	2364782	0.6864954147993345	SMT006	Vf	SMT006_Vf	667823	1190896	RNA
MHS339	981404	1523868	0.6440216606687719	SMT006	Tw	SMT006_Tw	685466	769887	RNA
MHS341	866878	1185886	0.7309960653890846	SMT003	Ac	SMT003_Ac	2847458	625209	RNA
MHS342	4051446	5380402	0.7530006122219121	SMT015	Vf	SMT015_Vf	1078642	2707345	RNA
MHS343	4468308	5585598	0.7999694929710301	SMT019	Vf	SMT019_Vf	640611	2802724	RNA
MHS344	1188821	1698274	0.7000171939274816	SMT010	Sc	SMT010_Sc	1175134	877679	RNA
MHS345	2328766	3638398	0.6400525725882655	SMT010	Vf	SMT010_Vf	985557	1864499	RNA
MHS347	4539458	5592318	0.8117310210184757	SMT023	Tw	SMT023_Tw	437850	2832890	RNA
MHS349	5293267	6328910	0.8363631336201652	SMT002	Sc	SMT002_Sc	1901257	3189084	RNA
